,id,eqn
55,1806.05173,"
\mathcal{L}(\hat{I}_{ij},I_{ij}|\mathcal{R}_{S_i},\mathcal{R}_{C_j}; \theta) = W^{ij}_{st}\times W^{ij}_d \times ||\hat{I}_{ij} - I_{ij}||.
"
56,1806.05173,"
W^{ij}_{st} = 1/N_b^{ij},
"
57,1806.05173,"
W^{ij}_d = \frac{exp(\textrm{mean}_{ij})}{\sum_{I_{ij}\in \mathcal{D}_t}exp(\textrm{mean}_{ij})},
"
58,1806.05173,"
    \hat{F} = \frac{F_{con} - \mu(F_{con})}{\sigma(F_{con})} \gamma_s + \beta_s,
"
59,1806.05173,"
    \hat{F}^c = \frac{F_{con}^c-\mu(F_{con}^c)}{\sigma(F_{con}^c)} \sigma_{sty}^c + \mu_{sty}^c,
"
60,1806.05173,"
    \mu(F_{con}^c) = \frac{1}{HW} \sum_{h=1}^H \sum_{w=1}^W F_{con}^{hwc},
"
61,1806.05173,"
    \sigma(F_{con}^c) = \left[\frac{1}{HW} \sum_{h=1}^H\sum_{w=1}^W (F_{con}^{hwc} - \mu(F_{con}^c))^2 \right]^\frac{1}{2},
"
62,1806.05173,"
   \mathcal{L}(I_{gen}|I_{sty},I_{con}) = \lambda_c \mathcal{L}_c + \lambda_s \mathcal{L}_s + \lambda_{tv} \mathcal{L}_{tv},
"
63,1806.05173,"
    \mathcal{L}_c = \frac{1}{H_lW_lC_l}\parallel F^l_{gen} - F^l_{con} \parallel _2^2,
"
64,1806.05173,"
    \hat{F} = \frac{F_{con}- \mu(F_{con})}{\sigma(F_{con})} \sigma_\textsl{new} + \mu_\textrm{new},
    \label{eq:trade-off}
"
65,1806.05173,"
    \mu_\textrm{new} = (1-\alpha)\mu_{con} + \alpha \mu_{sty},
"
66,1806.05173,"
    \sigma_\textrm{new} = (1-\alpha)\sigma_{con} + \alpha \sigma_{sty},
"
67,1806.04807,"
%\ve{x}=\text{argmin}\sum_{m}\|F_{i}(\pi(\ve{C}_i,\ve{P}_j))-F_{0}(\ve{p}_j)\|,
\displaystyle
e_{i,j}^f(\mathcal{X})=F_{i}(\pi({\mT}_i,d_j\boldsymbol{\cdot}{\vq}_{j}))-F_{1}(\vq_{j}),
\label{equ:feat_error}
"
68,1806.04807,"
\sD=\text{ReLU}(\vw^{\top}\mB).
\label{equ:D=FC}
"
69,1806.04807,"
e^f_{i,j}(\mathcal{X})=F_i(\pi({\mT}_i,\text{ReLU}(\vw^{\top}\mB[j])\boldsymbol{\cdot}\vq_{j}))-F_1(\vq_{j}),
\label{equ:feat_error2}
"
70,1806.04807,"
\vspace{-6pt}
\displaystyle
\Delta\mathcal{X}=(J(\mathcal{X})^{\top}J(\mathcal{X})+\lambda D(\mathcal{X}))^{-1}J(\mathcal{X})^{\top}E(\mathcal{X}).
\label{eq:single_iter}
"
71,1806.04807,"
\displaystyle
{\mathcal{X}}_{k}=g({\mathcal{X}}_{k-1};\sF)\circ{\mathcal{X}}_{k-1}.
\label{equ:function}
"
72,1806.04807,"
\displaystyle \mathcal{X}=\text{argmin}\sum_{i=1}^{N_i}\sum_{j=1}^{N_j}\|{\displaystyle e}^{g}_{i,j}(\displaystyle \mathcal{X})\|,
\label{equ:geo_error}
"
73,1806.04807,"
\displaystyle
\Delta\mathcal{X}^{*}=\text{argmin}\|J(\mathcal{X})\Delta\mathcal{X}+E(\mathcal{X})\|+\lambda\|D(\mathcal{X})\Delta\mathcal{X}\|.
\label{equ:lmiter}
"
74,1806.04807,"
\displaystyle
e^{p}_{i,j}(\mathcal{X})=I_i(\pi({\mT}_i,d_j\boldsymbol{\cdot}{\vq}_{j}))-I_1({\vq}_{j}),
\label{equ:pho_error}
"
75,1805.06837,"\label{model_multinomial}
Y_i := N_iX_i \sim \text{Multinomial}_p\left(N_i,  AW_i\right),\quad \text{ for each  }i\in[n].
"
76,1805.06837,"\label{model}  
\Pi := \EE[X] = AW, 
"
77,1805.06837,"\label{col_sum_one}
\sum_{j=1}^p\M_{ji} = 1, \quad \sum_{j=1}^pA_{jk}=1, \quad \sum_{k=1}^KW_{ki} = 1, \quad \text{for any $k\in [K]$ and  $i\in[n]$.}
"
78,1805.06837,"\label{cond_orth}
	\Big| \textrm{supp}(A_{j\cdot}) \cap \textrm{supp}(W_{\cdot i}) \Big| \le 1, \quad \text{ for all }j\in[p], i\in [n].
	"
79,1805.06837,"\label{normal}  
%	\wt W :=  D_W^{-1}W, \quad \wt A :=  D_\Pi^{-1}AD_W, \quad \wt \Pi:= D_\Pi^{-1}\Pi. 
%	"
80,1805.06837,"\label{scaled}  
%	\wt \Pi= \wt A \wt W, 
%	"
81,1805.06837,"\label{def_R}
%	R := n\wt \Pi \wt \Pi^T = \wt A \wt C \wt A^T, 
%	"
82,1805.06837,"\label{normal}  
\wt W :=  D_W^{-1}W, \quad  \wt \Pi:= D_\Pi^{-1}\Pi, \quad \wt A :=  D_\Pi^{-1}AD_W. 
"
83,1805.06837,"\label{scaled}  
\wt \Pi= \wt A \wt W, 
"
84,1805.06837,"\label{def_R}
R := n\wt \Pi \wt \Pi^T = \wt A \wt C \wt A^T, 
"
85,1805.06837,"\label{comp}  
T_i := \max_{1\le j\le p}R_{ij}, \qquad 	S_i := \left\{j\in [p]: R_{ij} = T_i\right\}, \qquad\text{for any $i\in [p].$}
"
86,1805.06837,"\label{comp}  
%	S_i := \left\{j\in [p]: R_{ij}\ge R_{i\ell}, \ \text{for all } \ell \in [p] \right\},\qquad T_i := \max_{1\le j\le p}R_{ij}, \qquad\text{for any $i\in [p]$.}
%	"
87,1805.06837,"\label{teta} \Theta := {1\over n}\Pi\Pi^T, "
88,1805.06837,"\label{def_AL}
	A_L= \diag(A_{i_11}, \ldots, A_{i_KK}). %:=\diag(\xi_1, \ldots, \xi_K).
	"
89,1805.06837,"\label{AL}1 = \|A_{\cdot k}\|_1 = A_{i_{k}k}\|B_{\cdot  k}\|_1,"
90,1805.06837,"\label{display3}
	\Theta_{LJ} = A_L C A_J^T= A_L C (A_LA_L^{-1})A_J^T = \Theta_{LL} (A_L^{-1}A_J^T) = \Theta_{LL} B^T_J.
	"
91,1805.06837,"\label{bj}  
	B_J = \Theta_{JL}\Theta_{LL}^{-1}. "
92,1805.06837,"\label{display2}
	{1\over n}\sum_{t=1}^n \M_{it}= A_{ik}\left({1\over n}\sum_{t=1}^n W_{kt}\right).
	"
93,1805.06837,"\label{eq_iden_BI}
	B_{ik}  = {\|\M_{i\cdot}\|_1\over\|\M_{i_k\cdot}\|_1  } ,\quad \text{for any $i\in I_k$ and $k\in [K]$.}
	"
94,1805.06837,"\label{est_Theta}
\wh\Theta := {1\over n}\sum_{i =1}^n\left[
{N_i \over N_i - 1}X_iX_i^T - {1\over N_i-1} \textrm{diag}(X_i)\right],
"
95,1805.06837,"\label{def_R_hat}
\wh R := \left(nD_X^{-1}\right) 	\wh\Theta  \left(nD_X^{-1}\right).
"
96,1805.06837,"\label{def_nu2}
\nu:=\min_{1\le i<j\le K} \left( \wt C_{ii}\wedge \wt C_{jj} - \wt C_{ij} \right)
%> 0, \   \text{ for all $1\le i< j \le K$}, 
"
97,1805.06837,"\label{def_delta}
\delta := \max_{1\le j,\ell \le p}\delta_{j\ell}.
"
98,1805.06837,"\label{ass_nu}
	\nu > 2 \max \left\{2\delta,~  \sqrt{2\|\wt C\|_{\infty}\delta } \right\}
	"
99,1805.06837,"\label{ass_signal}
	\min_{1\le j\le p}{1\over n}\sum_{i =1}^n\M_{ji} \ge {2\log M \over 3N},\qquad \min_{1\le j\le p}\max_{1\le i\le n}\M_{ji} \ge {(3\log M)^2 \over N}.
	"
100,1805.06837,"\label{ass_signal_weak}
		\min_{1\le j\le p} {1\over n}\sum_{i = 1}^n \M_{ji} \ge {c\log M \over nN}
		"
101,1805.06837,"\label{constr_0}
		nN \ge c\cdot p\log M, 
		"
102,1805.06837,"\label{constr_1}
		\min_{1\le j\le p}{1\over n}\sum_{i =1}^n\M_{ji} \le {1\over p}\sum_{j=1}^p{1\over n}\sum_{i =1}^n\M_{ji} = {1\over p}.
		"
103,1805.06837,"\label{eq_ass_W}
		\cos\left( \angle( W_{i\cdot},   W_{j\cdot} ) \right)< \frac{\zeta_i}{\zeta_j} \wedge  \frac{\zeta_j}{\zeta_i},\quad \text{for all $1\le i \ne j\le K$},
		"
104,1805.06837,"\label{eq_ass_W'}
		\cos\left( \angle( W_{i\cdot},   W_{j\cdot} ) \right)< \left(\frac{\zeta_i}{\zeta_j} \wedge  \frac{\zeta_j}{\zeta_i}\right)\left(1 - \eps_n %{4\delta \over n(\zeta_i^2 \wedge \zeta_j^2)}
		\right),\quad \text{for all $1\le i \ne j\le K$}.
		"
105,1805.06837,"\label{cond_word_balance}
		\max_{1\le i\le n} \M_{ji} \bigg / \left({1\over n}\sum_{i = 1}^n\M_{ji}\right) = o(\sqrt{n}),\qquad \text{for }1\le j\le p,
		"
106,1805.06837,"\label{classA}
\A(K,|I|, |J|) := \left\{ A\in\RR_+^{p\times K}:\ A^T\bm{1}_p = \bm{1}_K,\quad \text{$A$ has $|I|$ anchor words}\right\}
"
107,1805.06837,"\label{def_W0}
W=  W^0 + {1\over nN}\bm{1}_K\bm{1}_K^T - {K\over nN}\bm{I}_K,\quad 
W^0 = \{\underbrace{e_1, \ldots, e_1}_{n_1}, \underbrace{e_2, \ldots, e_2}_{n_2}, \ldots, \underbrace{e_K, \ldots, e_K}_{n_K}\}
"
108,1805.06837,"\label{tr}
	\inf_{\wh A}\sup_{A\in \A(p,K)}\PP\left\{L_1(A, \wh A) \ge c_1\sqrt{p\over nN}\right\} \ge c_2
	"
109,1805.06837,"\label{est_L}
%\wh i_k = \left\{i \in \wh I_k: \|X_{i\cdot}\|_1 \ge \|X_{j\cdot}\|_1, \forall j\in \wh I_k\right\}, \quad \text{for all }1\le k\le K,
%"
110,1805.06837,"\label{est_BI}
\wh B_{ik} = \left\{\begin{array}{ll}
{\|X_{i\cdot}\|_1\ \big /\ \|X_{\wh i_k\cdot}\|_1}, &\text{ if } i \in \wh I_k \text{ and } 1\le k\le \wh K\\
0, &\text{ otherwise }.
\end{array} \right.
"
111,1805.06837,"\label{constr_omega_prev}
%\Omega = \Omega^T, \quad 
\bigl\|\Omega \wh \Theta_{\wh L\wh L}-I\bigr\|_\r\le  \lambda t, \quad \|\Omega\|_{\infty,1}\le t,
"
112,1805.06837,"\label{constr_omega}
\bigl\|\wh \Theta_{\wh L\wh L}\omega-e_k\bigr\|_1\le  \lambda \|\omega\|_1
"
113,1805.06837,"\label{est_B}
\wh B_{\wh J}=\left(\wh \Theta_{\wh{J}\wh{L}}\wh \Omega\right)_+,
"
114,1805.06837,"\label{est_A}
\wh A = \wh B\cdot \diag\left(\|\wh B_{\cdot 1}\|_1^{-1}, \ldots, \|\wh B_{\cdot \wh K}\|_1^{-1}\right).
"
115,1805.06837,"\label{def_alpha_gamma}
\alpha_j := p\max_{1\le k\le K} A_{jk}, \qquad {\g_k} := {K\over n}\sum_{i=1}^nW_{ki},\qquad \text{ for each }j\in[p], \ k\in[K],
"
116,1805.06837,"\label{def_oaua}
\oa_I =\max_{i\in I}\alpha_i, \quad  \ua_I =\min_{i\in I}\alpha_i,\quad \rho_j = \alpha_j / \oa_I,\quad \og = \max_{1\le k\le K} \g_k,\quad
\ug = \min_{1\le k\le K} \g_k. 
"
117,1805.06837,"\label{constr}
	N \ge (2p\log M / 3) \vee (9p\log^2 M / K) 
	"
118,1805.06837,"\label{ass_signal_weak_mu}
	\min_{j\in I}{1\over n}\sum_{i =1}^n\M_{ji} \ge {c\log M \over N},\qquad \min_{j\in I}\max_{1\le i\le n}\M_{ji} \ge {c'(\log M)^2 \over N}
	"
119,1805.06837,"\label{delta3}
\wh \delta_{j\ell} =  {n^2 \over\| X_{j\cdot}\|_1 \|  X_{\ell \cdot}\|_1 }
\!\left\{\wh \eta_{j\ell}  +2 \wh\Theta_{j\ell}   \sqrt{\log M \over n }
\!\left[\! \frac{n}{\| X_{j\cdot}\|_1} \!\left( \frac{1}{n} \sum_{i=1}^n \frac{X_{ji} }{ N_i} \right)^{\rs{1\over 2}}\!\!\!+  \!\frac{n}{\| X_{\ell\cdot}\|_1}  \!\left( \frac{1}{n} \sum_{i=1}^n \frac{X_{\ell i} }{ N_i} \right)^{\rs{1\over 2}}
\right]\right\}
"
120,1805.06837,"\label{orig_sum_to_one}
\sum_{j =1}^p\M_{ji} = 1,\quad\sum_{j =1}^pA_{jk} = 1,\quad 
\sum_{k=1}^KW_{ki} = 1	
"
121,1805.06837,"\label{def_uag}
m_{j} = p\max_{1\le i\le n}\M_{ji},~~ \u_j = {p\over n} \sum_{i=1}^n\M_{ji},~~ \alpha_j = p\max_{1\le k\le K} A_{jk}, ~~ \g_k = {K\over n}\sum_{i=1}^nW_{ki},
"
122,1805.06837,"\label{sum_to_1}
\sum_{k =1}^K\g_k =K, \qquad \sum_{j =1}^p\u_j = p.
"
123,1805.06837,"\label{eq_crit_orth}
	\EE\left[-{\partial^2 \ell(Y_1,\ldots, Y_n) \over \partial A_{jk}\partial W_{k'i}}\right] = 0
	"
124,1805.06837,"\label{spec_A_tilde}
	\wt A_{jk}\ge 0,\quad \bigl\|\wt A_{j\cdot}\bigr\|_1 = 1, \qquad \text{ for each }j = 1,\ldots, p, \text{ and } K = 1,\ldots, K.
	"
125,1805.06837,"\label{eq_lem_t1}
	\sum_{j=1}^{p}\PP\left\{ {1\over n}\left|\sum_{i =1}^n \eps_{ji} \right| > 2{\sqrt{\u_j\log M\over npN}} + {4\log M \over nN} \right\} \le 2p M^{-2} \le 2M^{-1} .
	"
126,1805.06837,"\label{eq_T1}
	T_1 = {1\over n}\left|\sum_{i =1}^n\left(Y_{ji}Y_{\ell i}- \EE[Y_{ji}Y_{\ell i}]\right) \right| \le  2\sqrt{6}\left({1\over n}\sum_{i =1}^nT_{ji}^2T_{\ell i}^2\cdot {\log M \over n}\right)^{1/2}
	"
127,1805.06837,"\label{eq_hw}
	\sum_{j,\ell =1}^p{1\over n}\left|\sum_{i =1}^n\left(\eps_{ji}\eps_{\ell i} - \EE[\eps_{ji}\eps_{\ell i}]\right) \right| \le c\cdot p^2\sqrt{\log M \over nN}.
	"
128,1805.06837,"\label{cond_rate_pN}
{1\over p}\ge {\u_{\min} \over p} = \min_{1\le j\le p}{1\over n}\sum_{i =1}^n \M_{ji} \ge {2\log M \over 3N},
"
129,1805.06837,"\label{eq_mu}
	\u_j = {p\over n}\sum_{i =1}^n\M_{ji} = {p\over n}\sum_{i =1}^n\sum_{k =1}^KA_{jk}W_{ki} = {p\over K }\sum_{k =1}^KA_{jk}\g_k ~~\Rightarrow~~{p\over  K} \sum_{k = 1}^KA_{jk}\cdot \ug\le \u_j\le \alpha_j.
	"
130,1805.06837,"\label{eq_mu_I}
	\u_j = {p\over n}\sum_{i =1}^n\sum_{k =1}^KA_{jk}W_{ki} = {p\over K }A_{jk}\g_k\overset{(\ref{def_uag})}{=}{\alpha_j\g_k \over K}.
	"
131,1805.06837,"\label{eq_m}
	m_j \overset{(\ref{def_uag})}{=} {p}\max_{1\le i\le n}\M_{ji} = {p}\max_{1\le i\le n}\sum_{k =1}^KA_{jk}W_{ki}\le  p\max_{1\le k\le K}A_{jk} \overset{(\ref{def_uag})}{=} \alpha_j ~~ \Rightarrow ~~ \u_j \le m_j \le \alpha_j,
	"
132,1805.06837,\label{eq_sigma}		\Theta_{j\ell} = {1\over n}\sum_{i =1}^n\M_{ji}\M_{\ell i} \overset{(\ref{def_uag})}{\le} {m_j\u_{\ell} \wedge m_{\ell}\u_j \over p^2}.		
133,1805.06837,"\label{delta}
	\delta_{j\ell} := (1+\kappa_1\kappa_3){p^2 \over \u_j \u_{\ell}}\eta_{j\ell}  +\kappa_3{p^2\Theta_{j\ell}\over \u_j\u_{\ell}}\left(\sqrt{p \over \mu_j} + \sqrt{p\over \mu_\ell}\right) \sqrt{\log M \over nN},
	"
134,1805.06837,"\label{est_m_u}
{\wh m_j \over p} = \max_{1\le i\le n}X_{ji}, \qquad {\wh \u_j \over p} = {1\over n}\sum_{i=1}^nX_{ji}.
"
135,1805.06837,"\label{eq_t1}
	T_1\ \le \ {1\over n}\left|\sum_{i =1}^n \M_{ji}\eps_{\ell i}\right|+\ {1\over n}\left|\sum_{i =1}^n \M_{\ell i}\eps_{j i}\right|
	\ \overset{\E}{\le}\ (\sqrt{m_j}+\sqrt{m_\ell})\sqrt{6\Theta_{j\ell}\log M\over npN}+{2(m_j+m_\ell) \log M \over npN}.
	"
136,1805.06837,"\label{eq_t2}
	T_2\  =\  {1\over nN}\left|\sum_{i =1}^n \eps_{ji} \right|\ \overset{\E}{\le} \ 2(1+\kappa_1)\sqrt{\u_{j}\log M \over npN^3},
	"
137,1805.06837,"\label{cond_rate_m_pN}
	{m_{\min} \over p} = \min_{1\le j\le p}\max_{1\le i\le n}\M_{ji} \ge {(3\log M)^2 \over N}
	"
138,1805.06837,"\label{eq_du}
	\left(D_\M^{-1}\right)_{jj} = {1\over \sum_{i =1}^n (AW)_{ji} } = {1\over \sum_{i =1}^n\M_{ji}} ={p \over n\u_{j}},
	"
139,1805.06837,"\label{display1}
	{\u_j\over p} = {1\over n}\sum_{i =1}^n\M_{ji} \le \max_{1\le i\le n}\M_{ji} = {m_j\over p}   \le 1, \qquad \Theta_{j\ell} = {1\over n}\sum_{i =1}^n\M_{ji}\M_{\ell i}\le 1,
	"
140,1805.06837,"\label{delta_wt}
	\delta_{j\ell} := {p^2\eta_{j\ell} \over \u_j \u_{\ell}} +{p^2\Theta_{j\ell}\over \u_j\u_{\ell}}\left(\sqrt{p \over \mu_j} + \sqrt{p\over \mu_\ell}\right) \sqrt{\log M \over nN}.
	"
141,1805.06837,"\label{ineq4}
	\wh R_{i\wh a_i} - \wh R_{ij} \le \delta_{i\wh a_i} + \delta_{ij},\qquad \text{for any }j\in I_a.
	"
