,id,alg
10,1806.04610,"[!t]
	\caption{Gibbs sampler for Gaussian copula factor model with missing values}
	\label{GS_GCFM}
	\begin{algorithmic}[1]
		\REQUIRE Prior graph $G$, observed data $\bm{Y}$. \\
		\# \textbf{Step 1} and \textbf{Step 2}:
		%sample $\bm{Z} \sim P(\bm{Z}|\bm{\eta},\bm{Z} \in D(\bm{Y}),\Omega)$.
		%Iteratively over $(i,j)$, sample $z_{i,j}$ from $P(z_{i,j}|\eta_{[-i,j]}, \bm{z}_j \in D(\bm{y}_j),\Omega)$ as follows:
		\FOR{$j \in \{1,\ldots,p\}$}
		\STATE $q=$ factor index of $Z_j$
		\STATE $ a = \Sigma_{[j,q+p]} / \Sigma_{[q+p,q+p]}$
		\STATE $\sigma_j^2 = \Sigma_{[j,j]}-a \times \Sigma_{[q+p,j]}$ \\
		\# \textbf{Step 1}: $\bm{Z}_{obs} \sim P(\bm{Z}_{obs}|\bm{\eta},\bm{Z}_{obs} \in \D(\bm{Y}_{obs}),\Omega)$
		\FOR{$y \in \unique \{y_{1,j},\ldots,y_{n,j}\}$}
		\STATE $z_l = \max\{z_{i,j}:y_{i,j}<y\}$
		\STATE $z_u = \min\{z_{i,j}:y<y_{i,j}\}$
		\FOR{$i$ such that $\: y_{i,j} = y$}
		\STATE $\mu_{i,j} = \bm{\eta}_{[i,q]} \times a$
		\STATE $u_{i,j} \sim \mathcal{U}\big(\Phi\big[\frac{z_l-\mu_{i,j}}{\sigma_j}\big],\Phi\big[\frac{z_u-\mu_{i,j}}{\sigma_j}\big]\big)$
		\STATE $z_{i,j} = \mu_{i,j} + \sigma_j \times \Phi^{-1}(u_{i,j})$
		\ENDFOR
		\ENDFOR \\
		\# \textbf{Step 2}: $\bm{Z}_{miss} \sim P(\bm{Z}_{miss}|\bm{\eta},\bm{Z}_{obs},\Omega)$
		\FOR{$i$ such that $y_{i,j} \in \bm{Y}_{miss}$}
		\STATE $\mu_{i,j} = \bm{\eta}_{[i,q]} \times a$
		\STATE $z_{i,j} \sim \mathcal{N}(\mu_{i,j}, \sigma_j^2)$
		\ENDFOR	
		\ENDFOR
		\STATE $\bm{Z} = (\bm{Z}_{obs}, \bm{Z}_{miss})$ 
		\STATE $\bm{Z} = (\bm{Z}^T - \bm{\mu})^T$, with $\bm{\mu}$ the mean vector of $\bm{Z}$ \\
		\# \textbf{Step 3}: $\bm{\eta} \sim P(\bm{\eta}|\bm{Z},\Omega)$
		%Iteratively over $(i,j)$, sample $\eta_{i,j}$ from $P(\eta_{i,j}|\bm{X}_{[-i,-j]},\Omega)$ as follows:
		\STATE $A = \Sigma_{[\bm{\eta},\bm{Z}]}\Sigma_{[\bm{Z},\bm{Z}]}^{-1}$
		\STATE $B = \Sigma_{[\bm{\eta},\bm{\eta}]}-A\Sigma_{[\bm{Z},\bm{\eta}]}$
		\FOR{$i \in \{1,\ldots,n\}$}		
		\STATE $\bm{\mu}_i = (\bm{Z}_{[i,:]}A^T)^T$
		\STATE  $\bm{\eta}_{[i,:]} \sim \mathcal{N}(\bm{\mu}_i, B)$
		\ENDFOR
		\STATE $\bm{\eta}_{[:,j]} = \bm{\eta}_{[:,j]} \times \sign(\Cov{\bm{\eta}_{[:,j]}, \bm{Z}_{[:,f(j)]}}), \: \forall j$, where $f(j)$ is the index of the first indicator of $\eta_j$.  \\
		\# \textbf{Step 4}: $\Omega \sim P(\Omega|\bm{Z},\bm{\eta},G)$
		\STATE $\bm{X} = (\bm{Z}, \bm{\eta})$
		\STATE  $\Omega \sim \Wish_G(\nu_0 + n, \Psi_0 + \bm{X}^T\bm{X})$
		\STATE $\Sigma = \Omega^{-1}$
		\STATE $\Sigma_{ij} = \Sigma_{ij}/\sqrt{\Sigma_{ii}\Sigma_{jj}}, \forall i,j$
	\end{algorithmic}
"
11,1806.04610,"[H]
	\caption{Pseudo code of MLR for regression.}
	\label{alg:MLR_reg}
	%\setstretch{1.4}
	\begin{algorithmic}[1]
		\STATE \textbf{Input:} $\bm{Y}^{(train)}$ and $\bm{Y}_{\backslash j}^{(new)}$.
		\STATE \textbf{Output:} $Y_j^{(new)}$.
		\STATE \textbf{Training Stage:}
		\STATE Fit the model using MLR on $\bm{Y}^{(train)}$;
		\STATE Extract the model-implied covariance matrix from the fitted model, denoted by $\hat{S}$;
		\STATE Extract regression coefficients $\bm{b}$ of $Y_j$ on $\bm{Y}_{\backslash j}$ from $\hat{S}$, that is, $\bm{b} = \hat{S}_{[\backslash j,\backslash j]}^{-1} \hat{S}_{[\backslash j,j]}$;
		\STATE Obtain the regression intercept $b_0$, that is, \\ $b_0 = \E (Y_j^{(train)}) - \bm{b} \cdot \E (\bm{Y}_{\backslash j}^{(train)})$.
		\STATE \textbf{Prediction Stage:}
		\STATE $Y_j^{(new)} = b_0 + \bm{b} \cdot \bm{Y}_{\backslash j}^{(new)}$.
	\end{algorithmic}
"
12,1806.04610,"[H]
	\caption{Pseudo code of BGCF for regression.}
	\label{alg:BGCF_reg}
	%\setstretch{1.4}
	\begin{algorithmic}[1]
		\STATE \textbf{Input:} $\bm{Y}^{(train)}$ and $\bm{Y}_{\backslash j}^{(new)}$.
		\STATE \textbf{Output:} $Y_j^{(new)}$.
		\STATE \textbf{Training Stage:}
		\STATE Apply BGCF to learn the correlation matrix over response variables, i.e., $\hat{S} = \hat{\Sigma}_{[\bm{Z}, \bm{Z}]}$;
		\STATE Learn the empirical cumulative distribution function of $Y_j$, denoted by $\hat{F}_j$.
		\STATE \textbf{Prediction Stage:}
		\STATE Sample $Z_j^{(new)}$ from $P(Z_j^{(new)} |\hat{S}, \bm{Z}_{\backslash j} \in \mathcal{D}(\bm{Y}_{\backslash j}))$;
		\STATE Obtain $Y_j^{(new)}$, i.e., $Y_j^{(new)} = \hat{F}_j^{-1} \big(\Phi[Z_j^{(new)}]\big)$.
	\end{algorithmic}
"
13,1805.07984,"[t]
	\SetKwData{Score}{score}
	\SetKwData{EdgeScores}{edge\_scores}
	\SetKwData{BestEdge}{$e^*$}
	\SetKwData{BestFeature}{$f^*$}
	\SetKwData{FeatScores}{feature\_scores}
	\SetKwData{ModEdges}{edge\_changes}
	\SetKwData{ModFeats}{feature\_changes}
	\SetKwFunction{CandEdges}{candidate\_edge\_perturbations}	
	\SetKwFunction{EdgeScore}{score\_edges}	
	\SetKwFunction{FeatScore}{score\_features}
		\SetKwFunction{Append}{append}	
		\SetKwFunction{AddEdge}{add\_edge}	
		\SetKwFunction{RemEdge}{remove\_edge}
		\SetKwFunction{AddFeat}{add\_feature}	
		\SetKwFunction{RemFeat}{remove\_feature}	
		\SetKwFunction{Argmax}{argmax}	
		\SetKwFunction{Len}{len}	
	\SetKwFunction{CandFeatures}{candidate\_feature\_perturbations}
	\SetKwInOut{Input}{input}\SetKwInOut{Output}{output}
	\SetKwInput{Otp}{Output}
	\SetKwInput{Itp}{Input}
	\SetKwInOut{ForIn}{in}
	\SetKwInOut{Return}{return}\small
	\Itp{Graph $G^{(0)} \leftarrow (A^{(0)}, X^{(0)})$, target node $\Vtarget$,\qquad\qquad\quad   attacker nodes $\mathcal{A}$, modification budget $\Delta$}
	\Otp{Modified Graph $G' = (A', X')$}
	\BlankLine
	Train surrogate model on $G^{(0)}$ to obtain $W$ // Eq.~\eqref{eq:surrogate}\;
	$t \leftarrow 0$ \;
	\While{$|A^{(t)} - A^{(0)}| + |X^{(t)} - X^{(0)}| < \Delta$}{
		
		$C_{struct} \leftarrow \CandEdges(A^{(t)},\mathcal{A})$ \; 

		$e^*= (u^*,v^*) \leftarrow \underset{e \in {C_{struct}}}{\arg \max} \: s_{struct}\left( e ; G^{(t)} ,\Vtarget \right)$ \;
		$C_{feat} \leftarrow \CandFeatures(X^{(t)},\mathcal{A})$ \;
		$f^*= (u^*,i^*) \leftarrow \underset{f \in {C_{feat}}}{\arg \max} \: s_{feat}\left( f ; G^{(t)},\Vtarget \right)$ \;
		
		\lIf{$s_{struct}(e^*; G^{(t)},\Vtarget) > s_{feat}(f^*; G^{(t)},\Vtarget)$ }{
			$G^{(t+1)} \leftarrow G^{(t)} \pm e^* $
		}
		\lElse{
			$G^{(t+1)} \leftarrow G^{(t)} \pm f^* $
		}
		$t \leftarrow t+1$\;
	}
	\Return{$G^{(t)}$}
	// Train final graph model on the corrupted graph $G^{(t)}$\;
	\caption{\ours: Adversarial attacks on graphs }\label{alg:adv_attack}
"
14,1803.11262,"[t]
%\setstretch{1.6}%\large 
\caption{Fast Gradient Method}
\label{alg:fgm}
\begin{algorithmic}%[1]
{
\REQUIRE stepsize $\eta > 0$\\
\STATE $u^0 = u_\omega$ \\
\STATE $g^0 =0 \in E$\\
\FOR{$t = 0, 1, ...$}
\STATE $u_t = \prox_{\eta \Psi, u_\omega}\left(\eta g^t\right)$ \\
\STATE $\tau_t = \frac{2(t+2)}{(t+1)(t+4)}$ \\
\STATE $u_{t+\frac{1}{3}} = \tau_t u_t + (1-\tau_t) u^t$ \\
\STATE $g_{t} = \frac{t+2}{2} \nabla f(u_{t+\frac{1}{3}})$ \\
\STATE $u_{t+\frac{2}{3}} = \prox_{\eta \Psi, u_t}\left(\eta g_{t}\right)$ \vspace{0.05cm}\\
\STATE $u^{t+1} = \tau_t u_{t+\frac{2}{3}} + (1-\tau_t) u^t$\\
\STATE $g^{t+1} = \sum_{\tau=0}^t g_{t}$\\
\ENDFOR
}
\end{algorithmic}
"
15,1803.11262,"[p]
%\setstretch{1.6} %\large 
%\caption{: \texttt{Fast Gradient Method with Adaptive Stepsize}}
%\vspace{0.3cm}
%\label{alg:fgm-ls}
%\begin{algorithmic}[1]
%{
%\STATE $y_0 := z_\omega$\\
%\STATE $G_0 := 0 \in E$\\
%\FOR{$t := 0, 1, ...$}
%\STATE $s := 0$\\
%\REPEAT
%\STATE $L_{t} := 2^s \underline{L}$\\
%\STATE $z_t := \prox_{\frac{1}{L_t}\Psi, z_\omega}\left(\frac{1}{L_t} G_t\right)$ \\
%\STATE $\tau_t := \frac{2(t+2)}{(t+1)(t+4)}$ \\
%\STATE $x_{t+1} := \tau_t z_t + (1-\tau_t) y_t$ \\ 
%\STATE $g_{t+1} := \frac{t+2}{2} \nabla f(x_{t+1})$ \\
%\STATE $\widehat x_{t+1} := \prox_{\frac{1}{L_t} \Psi, z_t}\left(\frac{1}{L_t} g_{t+1}\right)$ \\
%\STATE $y_{t+1} := \tau_t \widehat x_{t+1} + (1-\tau_t) y_t$\\
%\STATE $\delta_{t} := \frac{L_t}{2} \|y_{t+1} - x_{t+1}\|^2  + \langle \nabla f(x_{t+1}), y_{t+1} - x_{t+1} \rangle + f(x_{t+1}) - f(y_{t+1})$\\
%\STATE $s := s+1$\\
%\UNTIL $\delta_t > 0$
%\STATE $G_{t+1} := G_t + g_{t+1}$\\
%\ENDFOR
%}
%\end{algorithmic}
%"
16,1803.11262,"[t]
%\setstretch{1.6} %\large 
\caption{Composite Mirror Prox}
\label{alg:cmp}
\begin{algorithmic}%[1]
\REQUIRE stepsize $\eta > 0$\\
%$\{\gamma_t\}_{t = 0, 1, ...}$\\
\STATE $w_0 := [u_0; v_0] = w_\omega$
\FOR{$t = 0, 1, ...$}
\STATE $w_{t+\frac{1}{2}} = \text{Prox}_{\eta \Psi, w_t}(\eta F(w_t))$
\STATE $w_{t+1} = \text{Prox}_{\eta \Psi, w_t}(\eta F(w_{t+\frac{1}{2}}))$
\STATE $w^{t+1} := [u^{t+1}; v^{t+1}] = \frac{1}{t+1}\sum_{\tau = 0}^{t} w_\tau$ %[\sum_{\tau=1}^t \gamma_\tau]^{-1} \sum_{\tau=1}^t \gamma_\tau
\ENDFOR
\end{algorithmic}
"
17,1805.05809,"[!hbtp]
   \small
   \caption{Learning algorithm}
   \label{alg:procedure}
   \begin{algorithmic}[1]
      \INPUT $\bftheta_b^{\text{emb}}$ (pretrained metric learning base model); $\bftheta_d \in \mathbb{R}^d$
      \REQUIRE $\bftheta_f = [\bftheta_b, \bftheta_d]$
      \FOR{ $t=1,\ldots,$ MAXITER}
      \STATE Sample a minibatch $\{\bfx_j\}$
      \STATE Update the flow network $G'$ by recomputing the cost vectors for all classes in the minibatch\\
      $\bfc_i = \frac{1}{m} \sum_{k: y_k = i} f(\bfx_k; \bftheta_f)$
      \STATE Compute the hash codes $\{\bfh_i\}$ minimizing \Cref{eqn:k_energy_avg} via finding the minimum cost flow on $G'$
      \STATE Update the network parameter given the hash codes\\
      $\bftheta_f \leftarrow \bftheta_f - \eta^{(t)} \partial \ell_\text{metric}(\bftheta_f; ~\bfh_{1,\ldots,n_c}) / \partial \bftheta_f$
      \STATE Update stepsize $\eta^{(t)} \leftarrow$ ADAM rule \cite{adam}
   \ENDFOR
   \OUTPUT $\bftheta_{f}$ (final estimate);
\end{algorithmic}
"
18,1806.04310,"[tb]
   \caption{MISSION}
   \label{alg:algorithm}
\begin{algorithmic}
   \STATE {\bf Initialize}: $\beta^0 = 0$, $\mathcal{S}$ (Count sketch), $\lambda$ (Learning Rate)
   \WHILE {not stopping criteria}
   \STATE Find the gradient update $g_i~=~\lambda \left( 2\left( y_i - x_i {\boldsymbol \beta}^t \right)^T x_i \right)$ 
   \STATE Add the gradient update to the sketch $g_i \rightarrow \mathcal{S}$
   \STATE Get the top-$k$ heavy-hitters from the sketch ${\boldsymbol \beta}^{t+1} \leftarrow  \mathcal{S}$
   \ENDWHILE
   \STATE {\bf Return:} The top-$k$ heavy-hitters from the count-sketch
\end{algorithmic}
"
19,1806.04310,"[tb]
   \caption{\mission{}}
   \label{alg:algorithm}
\begin{algorithmic}
   \STATE {\bf Initialize}: $\beta^0 = 0$, $\mathcal{S}$ (Count-Sketch), $\lambda$ (Learning Rate)
   \WHILE {not stopping criteria}
   \STATE Find the gradient update $g_i=\lambda \left( 2\left( y_i - {\bf X}_i {\boldsymbol \beta}^t \right)^T {\bf X}_i \right)$ 
   \STATE Add the gradient update to the sketch $g_i \rightarrow \mathcal{S}$
   \STATE Get the top-$k$ heavy-hitters from the sketch ${\boldsymbol \beta}^{t+1} \leftarrow  \mathcal{S}$
   \ENDWHILE
   \STATE {\bf Return:} The top-$k$ heavy-hitters from the Count-Sketch
\end{algorithmic}
"
20,1806.04308,"
\caption{Conditional Feature Sampling using DPP}
\begin{algorithmic}[1]
\renewcommand{\algorithmicrequire}{\textbf{Input:}}
\renewcommand{\algorithmicensure}{\textbf{Output:}}
\REQUIRE Best candidate feature set: $X \in \mathbb{R}^{d\times n}$ , new set of features $G$, reconstruction error $\alpha$
\ENSURE  Sample of features from $G$
\\ \STATE Construct similarity matrix $L$ based on $X \cup G$. 
\\ \STATE Sample features from $G$ conditioning on $X$ using conditional DPP
\end{algorithmic}
"
